StudentID,Name,Course,YearLevel,GPA
STUD001,Student_1,BSBA,1st Year,
STUD002,Student_2,BSBA,3rd Year,2.02
STUD003,Student_3,BSN,4th Year,2.99
STUD004,Student_4,BSN,2nd Year,2.83
STUD005,Student_5,BSN,4th Year,2.31
STUD006,Student_6,BSED,4th Year,1.97
STUD007,Student_7,BSIT,1st Year,3.36
STUD008,Student_8,BSED,1st Year,3.46
STUD009,Student_9,BSBA,4th Year,3.99
STUD010,Student_10,BSCS,1st Year,1.73
STUD011,Student_11,BSBA,3rd Year,1.58
STUD012,Student_12,BSBA,2nd Year,1.61
STUD013,Student_13,BSBA,2nd Year,1.36
STUD014,Student_14,12345,2nd Year,3.35
STUD015,Student_15,BSBA,2nd Year,3.76
STUD016,Student_16,BSCS,4th Year,3.81
STUD017,Student_17,BSED,3rd Year,error
STUD018,Student_18,BSCS,4th Year,3.8
STUD019,Student_19,BSED,4th Year,1.67
STUD020,Student_20,BSBA,4th Year,2.94
STUD021,Student_21,BSED,2nd Year,2.38
STUD022,Student_22,BSBA,2nd Year,
STUD023,Student_23,BSED,2nd Year,2.13
STUD024,Student_24,,3rd Year,3.82
STUD025,Student_25,BSN,4th Year,3.83
STUD026,Student_26,BSCS,3rd Year,1.55
STUD027,Student_27,BSN,1st Year,2.23
STUD028,Student_28,BSN,1st Year,3.97
STUD029,Student_29,BSED,4th Year,3.97
STUD030,Student_30,BSIT,2nd Year,2.28
STUD031,Student_31,BSCS,1st Year,2.62
STUD032,Student_32,BSBA,1st Year,1.44
STUD033,Student_33,BSBA,2nd Year,2.71
STUD034,Student_34,BSBA,4th Year,1.8
STUD035,Student_35,BSN,1st Year,2.49
STUD036,Student_36,BSED,1st Year,2.43
STUD037,Student_37,BSBA,3rd Year,
STUD038,Student_38,BSIT,1st Year,2.1
STUD039,Student_39,BSIT,3rd Year,3.17
STUD040,Student_40,BSN,1st Year,3.27
STUD041,Student_41,BSIT,2nd Year,1.98
STUD042,Student_42,BSED,2nd Year,
STUD043,Student_43,BSBA,2nd Year,2.35
STUD044,Student_44,BSCS,1st Year,3.39
STUD045,Student_45,BSBA,1st Year,2.79
STUD046,Student_46,BSCS,3rd Year,3.54
STUD047,Student_47,BSIT,2nd Year,2.83
STUD048,Student_48,BSCS,4th Year,3.88
STUD049,Student_49,,2nd Year,2.34
STUD050,Student_50,BSCS,1st Year,3.12
